,YEAR,BOOK,AUTHOR,LANGUAGE,CATEGORY
0,2023,Dr. Pranavjyoti Dekar Srestha Galpa ,Pranavjyoti Deka,ASSAMESE,Short Stories
1,2022,Bhool Satya ,Manoj Kumar Goswami,ASSAMESE,Short Stories
2,2021,Iyat Ekhan Aaronya Asil ,Anuradha Sarma Pujari,ASSAMESE,Novel
3,2020,Bengsata ,Apurba Kumar Saikia,ASSAMESE,Short Stories
4,2019,Chanakya ,Joysree Goswami Mahanta,ASSAMESE,Novel
5,2018,Kailoir Dinto Amar Hobo ,Sananta Tanti,ASSAMESE,Poetry
6,2017,Moriahola ,Jayanta Madhab Bora,ASSAMESE,Novel
7,2016,Meghmalar Bhraman ,Jnan Pujari,ASSAMESE,Poetry
8,2015,Akashar Chhabi Aru Anyanya Galpa ,Kula Saikia,ASSAMESE,Short Stories
9,2014,Mariam Astin Athaba Hira Barua,Arupa Patangia Kalita,ASSAMESE,Short Stories
10,2012,Patkair Ipare Mor Desh ,Chandana Goswami,ASSAMESE,Novel
11,2011,Ei Anuragi Ei Udasi ,Kabin Phukan,ASSAMESE,Poetry
12,2010,Asomiya Ramayani Sahitya: Kathabostur Atiguri ,Keshada Mahanta,ASSAMESE,Criticism
13,2009,Katha Ratnakara ,Dhruba Jyoti Bora,ASSAMESE,Novel
14,2008,Deou Langkhui ,Rita Choudhury,ASSAMESE,Novel
15,2007,Santanukulanandan ,Purabi Bormudoi,ASSAMESE,Novel
16,2006,Cheneh Jorir Ganthi ,Atulananda Goswami,ASSAMESE,Short stories
17,2005,Mouna Ounth Mukhar Hriday ,Yeshe Dorje Thongchi,ASSAMESE,Novel
18,2004,Manuh Anukule ,Hirendra Nath Dutta,ASSAMESE,Poetry
19,2003,Anek Manuh Anek Aru Nirjanata ,Bireswar Barua,ASSAMESE,Poetry
20,2002,Mahat Oitiyya ,Nalinidhar Bhattacharyya,ASSAMESE,Criticism
21,2001,Edhani Mahir Hanhi ,Mahim Bora,ASSAMESE,Novel
